method,dataset,test_accuracy,test_loss,elapsed
Linear,imdb,0.8481823979591837,0.3633084784508968,0.24732518196105957
Linear,sst2,0.8535370879120878,0.3369640111923218,0.009159564971923828
Linear,y_p,0.904389880952381,0.2383005949684265,0.379849910736084
Bert_LSTM,imdb,0.8660315688775511,0.44132429239701254,0.3245842456817627
Bert_LSTM,sst2,0.865470467032967,0.4418811457497733,0.013922452926635742
Bert_LSTM,y_p,0.9281467953342953,0.3820210546756834,0.5262870788574219
Bert_biLSTM,imdb,0.8663345025510204,0.4414332966719355,0.38312458992004395
Bert_biLSTM,sst2,0.8710508241758241,0.44156828948429655,0.01586174964904785
Bert_biLSTM,y_p,0.9317693302068302,0.379366833152193,0.6150374412536621
Bert_GRU,imdb,0.8657924107142857,0.4414154417356666,0.3095357418060303
Bert_GRU,sst2,0.8685611263736265,0.44203290343284607,0.011590242385864258
Bert_GRU,y_p,0.9270419973544973,0.3823934080022754,0.45800137519836426
Bert_biGRU,imdb,0.8672672193877551,0.4405937910992272,0.3545835018157959
Bert_biGRU,sst2,0.8677026098901098,0.4422502475125449,0.014963388442993164
Bert_biGRU,y_p,0.9311718374218374,0.37917365891363486,0.5749378204345703
